movie_id,title,budget,revenue,runtime,release_month,release_year,release_dow,actor_gender,actor_credits,actor_net_to_date,producer_gender,producer_credits,producer_net_to_date,writer_gender,writer_credits,writer_net_to_date,director_gender,director_credits,director_net_to_date,genre_count,language_count,net,target
1729,The Forbidden Kingdom,55000000,127906624,104,4,2008,4,2,8,49008882,2,0,0,0,0,0,2,3,309382439,3,2,72906624,1
12123,Chain Reaction,50000000,60209334,107,8,1996,4,2,3,368470859,0,0,0,0,0,0,2,1,324875760,4,1,10209334,1
34314,Turbulence,55000000,11466088,100,1,1997,3,2,0,0,2,0,0,2,0,0,2,0,0,3,1,-43533912,0
19724,Imagine That,55000000,16123323,107,6,2009,4,2,18,1459119976,2,5,183217665,2,0,0,2,1,263397247,1,1,-38876677,0
42297,Burlesque,55000000,89519773,119,11,2010,1,1,2,5791463,2,3,207932330,2,1,3657377,2,0,0,2,1,34519773,1
36586,Blade II,54000000,155010032,117,3,2002,4,2,4,60237662,0,1,86183530,2,1,86183530,2,0,0,4,3,101010032,1
1717,All the King's Men,55000000,9450897,125,9,2006,6,2,6,312712288,2,1,-13297099,2,0,0,2,1,-13297099,2,1,-45549103,0
22803,Law Abiding Citizen,53000000,126690726,109,10,2009,3,2,6,211444177,2,1,1223890,2,1,1070211,2,6,218501698,3,1,73690726,1
285923,Grindhouse,67000000,25037897,191,4,2007,4,2,13,95929663,0,7,468364788,0,2,132360146,0,10,613361190,3,2,-41962103,0
97630,Zero Dark Thirty,40000000,132820716,157,12,2012,2,1,0,0,1,2,-37831034,2,0,0,1,2,-37831034,3,2,92820716,1
32856,Valentine's Day,52000000,216485654,125,2,2010,2,1,3,207690349,2,1,14706120,1,1,137259441,2,6,872480309,2,1,164485654,1
38050,The Adjustment Bureau,50200000,127869379,106,3,2011,3,2,15,831098568,2,0,0,2,0,0,2,0,0,3,1,77669379,1
9390,Jerry Maguire,50000000,273552592,139,12,1996,4,2,7,1390184077,2,1,133668774,2,0,0,2,0,0,3,2,223552592,1
37686,Super 8,50000000,260095987,112,6,2011,2,2,0,0,2,11,2244241310,2,2,261492850,2,2,483530458,3,1,210095987,1
462,Erin Brockovich,52000000,256271286,131,3,2000,4,1,7,1497028529,2,6,50858660,1,0,0,2,3,58480337,1,2,204271286,1
302699,Central Intelligence,50000000,216972543,107,6,2016,2,2,15,1339918831,2,4,2022566999,2,1,-572808,0,2,380716429,2,1,166972543,1
388,Inside Man,45000000,184376254,129,3,2006,3,2,16,630932899,2,22,1809305622,2,0,0,2,13,81449605,3,2,139376254,1
228326,The Book of Life,50000000,97437106,95,10,2014,2,2,0,0,2,2,224460365,0,0,0,0,0,0,6,1,47437106,1
2649,The Game,50000000,109423648,129,9,1997,4,2,5,551932490,2,1,121615285,2,0,0,2,2,404085404,3,3,59423648,1
588,Silent Hill,50000000,97607453,125,4,2006,4,1,1,-492110,2,1,-1081039,2,1,7799060,2,0,0,2,1,47607453,1
216282,Into the Storm,50000000,160602194,89,8,2014,2,2,0,0,2,1,15972187,0,0,0,2,1,110887643,2,1,110602194,1
14199,The Adventures of Sharkboy and Lavagirl,50000000,69425966,92,6,2005,4,2,0,0,1,1,118733820,0,1,112934180,0,9,593935224,3,1,19425966,1
22832,Ninja Assassin,40000000,60462347,99,9,2009,1,2,0,0,2,25,2326566167,2,0,0,2,1,78511035,3,1,20462347,1
38579,Marmaduke,50000000,83761844,87,6,2010,4,2,5,544313540,2,19,1507297389,2,0,0,2,2,40647497,2,1,33761844,1
316152,Free State of Jones,50000000,25035950,139,6,2016,4,2,14,855066660,2,8,2440441698,2,0,0,2,2,677547137,5,2,-24964050,0
241554,Run All Night,50000000,71561644,114,3,2015,2,2,14,2275275521,2,3,63577268,0,0,0,2,4,323958369,5,1,21561644,1
10047,The Messenger: The Story of Joan of Arc,60000000,66976317,148,10,1999,0,1,1,-8192146,2,1,-1609341,2,0,0,2,2,172310839,5,2,6976317,1
38319,Your Highness,49900000,26121638,102,4,2011,4,2,0,0,2,3,68923832,2,0,0,2,4,73542989,1,1,-23778362,0
18501,Gamer,50000000,40828540,95,9,2009,3,2,5,426134486,2,18,814611662,2,0,0,2,2,45491618,3,1,-9171460,0
329833,Zoolander 2,50000000,55969000,100,2,2016,5,2,21,3668994468,2,30,1770700990,2,0,0,2,4,282812748,1,1,5969000,1
47327,Drive Angry,50000000,28931401,105,2,2011,3,2,21,1178152675,2,5,150020506,0,0,0,0,3,88978622,4,1,-21068599,0
18947,The Boat That Rocked,50000000,36348784,116,4,2009,2,2,0,0,2,22,1473376499,2,0,0,2,1,204931766,2,1,-13651216,0
198184,Chappie,49000000,104399548,120,3,2015,2,2,1,180819611,2,2,290761971,2,1,171140700,2,2,351960311,3,1,55399548,1
4547,Panic Room,48000000,196397415,111,3,2002,4,1,3,299114379,2,0,0,2,0,0,2,4,501362805,3,1,148397415,1
260346,Taken 3,48000000,325771424,109,12,2014,1,2,13,1997504097,2,17,717408749,2,4,96191408,2,2,352107160,2,1,277771424,1
1624,Liar Liar,45000000,181000000,86,3,1997,4,2,5,890287506,2,7,852077710,2,0,0,2,2,166986741,1,1,136000000,1
