,movie_id,title,budget,revenue,release_date,movie_url
107,6521,The Contender,9000000,17804273,10/13/2000,https://www.the-numbers.com//movie/Contender-The#tab=summary
108,6537,The Orphanage,4000000,79250193,8/27/2007,https://www.the-numbers.com//movie/Orfanato-El#tab=summary
109,6623,The Peacemaker,50000000,62967368,9/26/1997,https://www.the-numbers.com//movie/Peacemaker-The#tab=summary
110,6933,One Missed Call,20000000,44513466,1/4/2008,https://www.the-numbers.com//movie/One-Missed-Call#tab=summary
111,6968,The Baader Meinhof Complex,19700000,16498827,9/24/2008,https://www.the-numbers.com//movie/Baader-Meinhof-Komplex-Der#tab=summary
112,7006,White Noise 2: The Light,10000000,8243567,1/5/2007,https://www.the-numbers.com//movie/White-Noise-2-The-Light#tab=summary
113,7301,Lonesome Jim,500000,602789,11/16/2005,https://www.the-numbers.com//movie/Lonesome-Jim#tab=summary
114,7347,Elite Squad,6537890,14319195,10/12/2007,https://www.the-numbers.com//movie/Tropa-de-Elite#tab=summary
115,7504,Earth,,528972,9/16/1998,https://www.the-numbers.com//movie/Earth#tab=summary
116,7509,Water,3000000,11322573,9/8/2005,https://www.the-numbers.com//movie/Water#tab=summary
117,7515,London,2000000,12667,2/10/2005,https://www.the-numbers.com//movie/London#tab=summary
118,7547,Come Early Morning,6000000,119452,1/10/2006,https://www.the-numbers.com//movie/Come-Early-Morning#tab=summary
119,7548,The Libertine,22000000,9448623,9/16/2004,https://www.the-numbers.com//movie/Libertine-The#tab=summary
120,7863,Shine,5500000,36663895,1/21/1996,https://www.the-numbers.com//movie/Shine#tab=summary
121,7944,Shine a Light,1000000,16173879,2/7/2008,https://www.the-numbers.com//movie/Shine-a-Light#tab=summary
122,7973,Caramel,1600000,14253760,7/1/2007,https://www.the-numbers.com//movie/Sukkar-banat#tab=summary
123,7978,The Wolfman,150000000,142634358,2/11/2010,https://www.the-numbers.com//movie/Wolf-Man-The#tab=summary
124,8060,Married Life,12000000,2975188,9/12/2007,https://www.the-numbers.com//movie/Married-Life#tab=summary
125,8272,The Savages,9000000,10642023,1/19/2007,https://www.the-numbers.com//movie/Savages-The#tab=summary
126,8293,Howards End,8000000,26317943,3/13/1992,https://www.the-numbers.com//movie/Howards-End#tab=summary
127,8326,Holes,20000000,71232214,4/18/2003,https://www.the-numbers.com//movie/Holes#tab=summary
128,8357,What the #$*! Do We (K)now!?,4000000,10941801,4/23/2004,https://www.the-numbers.com//movie/What-the-Bleep-Do-We-Know#tab=summary
129,8359,Kit Kittredge: An American Girl,10000000,17657973,7/2/2008,https://www.the-numbers.com//movie/Kit-Kittredge-An-American-Girl#tab=summary
130,8390,"Definitely, Maybe",7000000,55617866,2/8/2008,https://www.the-numbers.com//movie/Definitely-Maybe#tab=summary
131,8416,The Conformist,,,10/21/1970,
