movie_id,title,name,unknown,male,female,credits,net_to_date
621,Grease,John Travolta,0,1,0,0,0
622,The Ninth Gate,Johnny Depp,0,1,0,6,36222729
627,Trainspotting,Ewan McGregor,0,1,0,0,0
628,Interview with the Vampire,Brad Pitt,0,1,0,1,-445000
629,The Usual Suspects,Stephen Baldwin,0,1,0,0,0
630,The Wizard of Oz,Judy Garland,0,0,1,0,0
634,Bridget Jones's Diary,Renée Zellweger,0,0,1,1,3732366
639,When Harry Met Sally...,Meg Ryan,0,0,1,0,0
640,Catch Me If You Can,Leonardo DiCaprio,0,1,0,4,352596307
641,Requiem for a Dream,Ellen Burstyn,0,0,1,0,0
642,Butch Cassidy and the Sundance Kid,Paul Newman,0,1,0,4,31600000
644,A.I. Artificial Intelligence,Haley Joel Osment,0,1,0,0,0
646,Dr. No,Sean Connery,0,1,0,0,0
650,Boyz n the Hood,Laurence Fishburne,0,1,0,0,0
652,Troy,Brad Pitt,0,1,0,8,759701485
654,On the Waterfront,Marlon Brando,0,1,0,0,0
657,From Russia with Love,Sean Connery,0,1,0,1,58650000
658,Goldfinger,Sean Connery,0,1,0,2,135548765
660,Thunderball,Sean Connery,0,1,0,3,257929827
663,Saw IV,Tobin Bell,0,1,0,2,302801908
664,Twister,Helen Hunt,0,0,1,0,0
666,Central Station,Fernanda Montenegro,0,0,1,0,0
667,You Only Live Twice,Sean Connery,0,1,0,4,393625485
668,On Her Majesty's Secret Service,George Lazenby,0,1,0,0,0
670,Oldboy,Choi Min-sik,0,1,0,0,0
671,Harry Potter and the Philosopher's Stone,Daniel Radcliffe,0,1,0,0,0
672,Harry Potter and the Chamber of Secrets,Daniel Radcliffe,0,1,0,1,851475550
673,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,0,1,0,2,1628164032
674,Harry Potter and the Goblet of Fire,Daniel Radcliffe,0,1,0,3,2287968586
675,Harry Potter and the Order of the Phoenix,Daniel Radcliffe,0,1,0,4,3033889622
