movie_id,title,language_count
8095,Cleopatra,2
20024,The End of the Affair,2
9030,The Eye,2
38428,"Gandhi, My Father",2
20065,Purple Violets,2
45610,Machine Gun Preacher,2
45324,Casino Jack,2
20156,Exotica,2
9920,Ultraviolet,2
10066,House of Wax,2
45243,The Hangover Part II,2
38570,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2
20520,The Motel,2
8413,Event Horizon,2
22897,It's Complicated,2
42057,It's a Wonderful Afterlife,2
42586,Darling Lili,2
42497,Pink Narcissus,2
8688,Snake Eyes,2
9947,Elektra,2
40264,Vampires Suck,2
40494,Trapeze,2
21014,Keeping Up with the Steins,2
9950,Find Me Guilty,2
22074,Capitalism: A Love Story,2
9955,Blades of Glory,2
8741,The Thin Red Line,2
40805,The Green Hornet,2
8814,Doom,2
39210,Somewhere,2
8883,Flame & Citron,2
41733,Due Date,2
8818,Evita,2
9957,The Benchwarmers,2
10003,The Saint,2
9991,Mean Machine,2
8872,Wayne's World,2
21612,The Funeral,2
21610,Nighthawks,2
9988,Beerfest,2
9981,Kicking & Screaming,2
21355,All the Pretty Horses,2
39895,From a Whisper to a Scream,2
8675,Orgazmo,2
8960,Hancock,2
42889,The Virginity Hit,2
22530,Bled,2
9945,Vampires,2
8975,The Marine,2
39514,RED,2
10047,The Messenger: The Story of Joan of Arc,2
20542,Delgo,2
44092,Reign of Assassins,2
20653,Roadside Romeo,2
20662,Robin Hood,2
8470,John Q,2
43935,Dylan Dog: Dead of Night,2
22345,Baby Geniuses,2
43933,Monsters,2
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,2
39780,Oscar and Lucinda,2
20761,Play It to the Bone,2
43867,The Prisoner of Zenda,2
20764,Sleep Dealer,2
22327,Youth in Revolt,2
8617,Prom Night,2
8961,Bad Boys II,2
10024,My Sister's Keeper,2
8645,The Happening,2
43266,How Green Was My Valley,2
10022,The Pacifier,2
9089,Home for the Holidays,2
37958,Immortals,2
34069,Cargo,2
6957,The 40 Year Old Virgin,2
6520,First Knight,2
18681,Eye of the Beholder,2
9833,The Phantom of the Opera,2
10193,Toy Story 3,2
6615,Lars and the Real Girl,2
35056,Date Night,2
35073,"The Beast from 20,000 Fathoms",2
18736,The Lizzie McGuire Movie,2
23963,Pontypool,2
9334,The Scorpion King,2
10186,The Rocker,2
9837,The Prince of Egypt,2
10185,The Midnight Meat Train,2
9849,My Favorite Martian,2
23742,Cop Out,2
6963,The Weather Man,2
6964,Something's Gotta Give,2
6972,Australia,2
9839,Beyond Borders,2
6977,No Country for Old Men,2
23706,All About Steve,2
36047,The In Crowd,2
9310,American Dreamz,2
36334,Deadline - U.S.A.,2
50601,5 Days of War,2
6978,Big Trouble in Little China,2
18616,No Man's Land: The Rise of Reeker,2
6488,Arachnophobia,2
18602,Morvern Callar,2
34653,A Single Man,2
9806,The Incredibles,2
10217,The Sweet Hereafter,2
18320,The Young Victoria,2
55787,Water for Elephants,2
55779,Final Destination 5,2
55720,A Better Life,2
34106,You Can't Take It With You,2
6038,Shanghai Knights,2
6073,The Mexican,2
9819,Marvin's Room,2
55347,Beginners,2
6106,Salvador,2
9361,The Last of the Mohicans,2
9822,Mighty Joe Young,2
54702,Malevolence,2
54580,Mondays in the Sun,2
6415,Three Kings,2
53953,The Tooth Fairy,2
24100,The Little Vampire,2
10200,The Day the Earth Stood Still,2
9353,Nacho Libre,2
53256,Three,2
10198,The Princess and the Frog,2
