movie_id,title,budget,revenue,release_date,movie_url
12596,Pushing Tin,33000000,8408835,1999-04-23,https://www.the-numbers.com//movie/Pushing-Tin#tab=summary
11888,Snow Dogs,32000000,116898028,2002-01-18,https://www.the-numbers.com//movie/Snow-Dogs#tab=summary
9647,Scrooged,32000000,59450353,1988-11-22,https://www.the-numbers.com//movie/Scrooged#tab=summary
12920,Dreamer: Inspired By a True Story,32000000,39498360,2005-09-10,https://www.the-numbers.com//movie/Dreamer-Inspired-by-a-True-Story#tab=summary
8649,Bringing Out the Dead,32000000,16640210,1999-10-22,https://www.the-numbers.com//movie/Bringing-Out-The-Dead#tab=summary
3587,Bogus,32000000,4357406,1996-09-06,https://www.the-numbers.com//movie/Bogus#tab=summary
32274,Cradle Will Rock,32000000,2899970,1999-12-10,https://www.the-numbers.com//movie/Cradle-Will-Rock#tab=summary
5494,George and the Dragon,32000000,0,2004-03-28,https://www.the-numbers.com//movie/George-and-the-Dragon#tab=summary
2054,Mr. Holland's Opus,31000000,106282604,1995-12-29,https://www.the-numbers.com//movie/Mr-Hollands-Opus#tab=summary
16300,Down to Earth,30000000,71172251,2001-02-16,https://www.the-numbers.com//movie/Down-to-Earth#tab=summary
9715,Hope Floats,30000000,81529000,1998-05-29,https://www.the-numbers.com//movie/Hope-Floats#tab=summary
227783,The Nut Job,30000000,122529966,2014-01-17,https://www.the-numbers.com//movie/Nut-Job-The#tab=summary
21972,Like Mike,30000000,62432423,2002-07-03,https://www.the-numbers.com//movie/Like-Mike#tab=summary
37056,Letters to Juliet,30000000,82148538,2010-05-14,https://www.the-numbers.com//movie/Letters-to-Juliet#tab=summary
9918,Glory Road,30000000,42799060,2006-01-13,https://www.the-numbers.com//movie/Glory-Road#tab=summary
13156,Secondhand Lions,30000000,47902566,2003-09-19,https://www.the-numbers.com//movie/Secondhand-Lions#tab=summary
14034,What's the Worst That Could Happen?,30000000,38462071,2001-05-31,https://www.the-numbers.com//movie/Whats-the-Worst-That-Could-Happen#tab=summary
11137,The Prince & Me,30000000,29356757,2004-03-28,https://www.the-numbers.com//movie/Prince-and-Me-The#tab=summary
239566,Get on Up,30000000,33339868,2014-08-01,https://www.the-numbers.com//movie/Get-on-Up#tab=summary
53113,One True Thing,30000000,26708196,1998-09-18,https://www.the-numbers.com//movie/One-True-Thing#tab=summary
4474,My Super Ex-Girlfriend,30000000,60772856,2006-06-20,https://www.the-numbers.com//movie/My-Super-Ex-Girlfriend#tab=summary
184346,Deliver Us from Evil,30000000,87956618,2014-07-01,https://www.the-numbers.com//movie/Deliver-Us-From-Evil-(2014)#tab=summary
8869,Eight Legged Freaks,30000000,36722311,2002-07-17,https://www.the-numbers.com//movie/Eight-Legged-Freaks#tab=summary
37707,Splice,30000000,26857459,2009-10-06,https://www.the-numbers.com//movie/Splice#tab=summary
10350,Wing Commander,30000000,11578022,1999-03-11,https://www.the-numbers.com//movie/Wing-Commander#tab=summary
28902,In Dreams,30000000,12017369,1999-01-15,https://www.the-numbers.com//movie/In-Dreams#tab=summary
14164,Dragonball Evolution,30000000,58228460,2009-04-01,https://www.the-numbers.com//movie/Dragonball-Evolution#tab=summary
76640,The Last Stand,30000000,48330757,2013-01-12,https://www.the-numbers.com//movie/Last-Stand-The#tab=summary
14844,Chasing Liberty,23000000,12291975,2004-01-09,https://www.the-numbers.com//movie/Chasing-Liberty#tab=summary
311,Once Upon a Time in America,30000000,5564014,1984-02-16,https://www.the-numbers.com//movie/Once-Upon-a-Time-in-America#tab=summary
102362,Dead Man Down,30000000,19599974,2013-03-08,https://www.the-numbers.com//movie/Dead-Man-Down#tab=summary
11162,The Merchant of Venice,30000000,18765585,2004-09-03,https://www.the-numbers.com//movie/Merchant-of-Venice-The#tab=summary
6016,The Good Thief,30000000,6460758,2003-04-03,https://www.the-numbers.com//movie/Good-Thief-The#tab=summary
17186,Supercross,30000000,3252550,2005-08-16,https://www.the-numbers.com//movie/Supercross#tab=summary
2008,The Promise,30000000,35869934,2005-12-15,https://www.the-numbers.com//movie/Wu-ji#tab=summary
265208,Wild Card,30000000,929157,2015-01-14,https://www.the-numbers.com//movie/Wild-Card#tab=summary
1874,Goodbye Bafana,30000000,2717302,2007-02-11,https://www.the-numbers.com//movie/Goodbye-Bafana#tab=summary
271331,United Passions,30000000,168832,2014-06-19,https://www.the-numbers.com//movie/United-Passions#tab=summary
215211,Grace of Monaco,30000000,25199891,2014-05-14,https://www.the-numbers.com//movie/Grace-of-Monaco#tab=summary
367961,Savva. Serdtse voyna,30000000,1841369,2015-11-12,https://www.the-numbers.com//movie/Savva-Serdtse-voyna#tab=summary
